cycle,file,status,applied,skipped,warnings,placeholders,flagged_slides,output
6,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,would change (dry run),"teacher note slide inserted at position 4, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 06 — Cellular Respiration & Fermentation (Unit 1)/▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with 2026-08-29 changes.pptx
6,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 30 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 4, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Calibri",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 06 — Cellular Respiration & Fermentation (Unit 1)/▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank — with 2026-08-29 changes.pptx
8,▶ LIVE — Cycle 08 — Cells & Organelles.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S17: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 08 — Cells & Organelles (Unit 2)/▶ LIVE — Cycle 08 — Cells & Organelles — with 2026-08-29 changes.pptx
8,▶ LIVE — Cycle 08 — Cells & Organelles — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S17: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 08 — Cells & Organelles (Unit 2)/▶ LIVE — Cycle 08 — Cells & Organelles — with Concept Bank — with 2026-08-29 changes.pptx
9,▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; pre-existing format debt, NOT patched: off-palette text colors: 000000; 1A1A1A",3,S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 09 — Cell Membrane & Transport (Unit 2)/▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport — with 2026-08-29 changes.pptx
9,▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 35 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; pre-existing format debt, NOT patched: off-palette text colors: 000000; 1A1A1A",3,S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 09 — Cell Membrane & Transport (Unit 2)/▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport — with Concept Bank — with 2026-08-29 changes.pptx
10,▶ LIVE — Cycle 10 — Enzymes.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 10 — Enzymes (Unit 2)/▶ LIVE — Cycle 10 — Enzymes — with 2026-08-29 changes.pptx
10,▶ LIVE — Cycle 10 — Enzymes — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 31 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 10 — Enzymes (Unit 2)/▶ LIVE — Cycle 10 — Enzymes — with Concept Bank — with 2026-08-29 changes.pptx
11,▶ LIVE — Cycle 11 — The Cell Cycle to Cancer.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 11 — The Cell Cycle → Cancer (Unit 2)/▶ LIVE — Cycle 11 — The Cell Cycle to Cancer — with 2026-08-29 changes.pptx
11,▶ LIVE — Cycle 11 — The Cell Cycle to Cancer — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 31 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 11 — The Cell Cycle → Cancer (Unit 2)/▶ LIVE — Cycle 11 — The Cell Cycle to Cancer — with Concept Bank — with 2026-08-29 changes.pptx
12,"▶ LIVE — Cycle 12 — The Process of Meiosis (VT deck, rebuilt).pptx",would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; move-1 S10: inventory says 'change condition', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,"/Users/katherinevonduyke/deck_work/exports/Cycle 12 — Meiosis (Unit 3)/▶ LIVE — Cycle 12 — The Process of Meiosis (VT deck, rebuilt) — with 2026-08-29 changes.pptx"
12,"Cycle 12 — Meiosis (VT deck, rebuilt) — with Concept Bank.pptx",would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; move-1 S10: inventory says 'change condition', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,"/Users/katherinevonduyke/deck_work/exports/Cycle 12 — Meiosis (Unit 3)/Cycle 12 — Meiosis (VT deck, rebuilt) — with Concept Bank — with 2026-08-29 changes.pptx"
13,▶ LIVE — Cycle 13— Mendelian Genetics.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; pre-existing format debt, NOT patched: off-palette text colors: 999999",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 13 — Mendelian Genetics (Unit 3)/▶ LIVE — Cycle 13— Mendelian Genetics — with 2026-08-29 changes.pptx
13,▶ LIVE — Cycle 13— Mendelian Genetics — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; pre-existing format debt, NOT patched: off-palette text colors: 999999",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 13 — Mendelian Genetics (Unit 3)/▶ LIVE — Cycle 13— Mendelian Genetics — with Concept Bank — with 2026-08-29 changes.pptx
14,▶ LIVE — Cycle 14 — DNA Structure & Replication.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; pre-existing format debt, NOT patched: off-palette text colors: 999999 ;; move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 14 — DNA Structure & Replication (Unit 3)/▶ LIVE — Cycle 14 — DNA Structure & Replication — with 2026-08-29 changes.pptx
14,▶ LIVE — Cycle 14 — DNA Structure & Replication — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Calibri ;; pre-existing format debt, NOT patched: off-palette text colors: 999999 ;; move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 14 — DNA Structure & Replication (Unit 3)/▶ LIVE — Cycle 14 — DNA Structure & Replication — with Concept Bank — with 2026-08-29 changes.pptx
17,▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 17 — Darwin & Evidence of Evolution (Unit 4)/▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with 2026-08-29 changes.pptx
17,▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 17 — Darwin & Evidence of Evolution (Unit 4)/▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with Concept Bank — with 2026-08-29 changes.pptx
18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S19: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 18 — Natural Selection & Adaptation (Unit 4)/▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with 2026-08-29 changes.pptx
18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 30 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S19: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 18 — Natural Selection & Adaptation (Unit 4)/▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank — with 2026-08-29 changes.pptx
19,▶ LIVE — Cycle 19 — Speciation & Biodiversity.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: off-palette text colors: 333333",3,S8 move-1 carries no difference ;; S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 19 — Speciation & Biodiversity (Unit 4)/▶ LIVE — Cycle 19 — Speciation & Biodiversity — with 2026-08-29 changes.pptx
19,▶ LIVE — Cycle 19 — Speciation & Biodiversity — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: off-palette text colors: 333333",3,S8 move-1 carries no difference ;; S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 19 — Speciation & Biodiversity (Unit 4)/▶ LIVE — Cycle 19 — Speciation & Biodiversity — with Concept Bank — with 2026-08-29 changes.pptx
20,▶ LIVE — Cycle 20 — Human Impact Capstone.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 20 — Human Impact (Capstone) (Unit 4)/▶ LIVE — Cycle 20 — Human Impact Capstone — with 2026-08-29 changes.pptx
20,▶ LIVE — Cycle 20 — Human Impact Capstone — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 20 — Human Impact (Capstone) (Unit 4)/▶ LIVE — Cycle 20 — Human Impact Capstone — with Concept Bank — with 2026-08-29 changes.pptx
7a,▶ LIVE — Cycle 07a — Population Ecology.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07a — Population Ecology — with 2026-08-29 changes.pptx
7a,▶ LIVE — Cycle 07a — Population Ecology — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07a — Population Ecology — with Concept Bank — with 2026-08-29 changes.pptx
7b,▶ LIVE — Cycle 07b — Populations & Succession.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07b — Populations & Succession — with 2026-08-29 changes.pptx
7b,▶ LIVE — Cycle 07b — Populations & Succession — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07b — Populations & Succession — with Concept Bank — with 2026-08-29 changes.pptx
15a,▶ LIVE — Cycle 15a — Genes & Chromosomes.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),,3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15a — Genes & Chromosomes — with 2026-08-29 changes.pptx
15a,▶ LIVE — Cycle 15a — Genes & Chromosomes — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,,3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15a — Genes & Chromosomes — with Concept Bank — with 2026-08-29 changes.pptx
15b,▶ LIVE — Cycle 15b — Protein Synthesis.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15b — Protein Synthesis — with 2026-08-29 changes.pptx
15b,▶ LIVE — Cycle 15b — Protein Synthesis — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15b — Protein Synthesis — with Concept Bank — with 2026-08-29 changes.pptx
16a,▶ LIVE — Cycle 16a — Stem Cells and Differentiation.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: off-palette text colors: 000000 ;; move-1 S8: inventory says 'comparison, named alternatives', independent check says 'NO CONTRAST DEVICE'",3,S19 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 16 — Mutations & Gene Expression (Unit 4)/▶ LIVE — Cycle 16a — Stem Cells and Differentiation — with 2026-08-29 changes.pptx
16a,▶ LIVE — Cycle 16a — Stem Cells and Differentiation — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 34 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: off-palette text colors: 000000 ;; move-1 S8: inventory says 'comparison, named alternatives', independent check says 'NO CONTRAST DEVICE'",3,S19 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 16 — Mutations & Gene Expression (Unit 4)/▶ LIVE — Cycle 16a — Stem Cells and Differentiation — with Concept Bank — with 2026-08-29 changes.pptx
16b,▶ LIVE — Cycle 16b — Genetic Mutations.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: off-palette text colors: 000000",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 16 — Mutations & Gene Expression (Unit 4)/▶ LIVE — Cycle 16b — Genetic Mutations — with 2026-08-29 changes.pptx
16b,▶ LIVE — Cycle 16b — Genetic Mutations — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: off-palette text colors: 000000",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 16 — Mutations & Gene Expression (Unit 4)/▶ LIVE — Cycle 16b — Genetic Mutations — with Concept Bank — with 2026-08-29 changes.pptx
16c,▶ LIVE — Cycle 16c — Mutations and Genetic Disorders.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: off-palette text colors: 000000",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 16 — Mutations & Gene Expression (Unit 4)/▶ LIVE — Cycle 16c — Mutations and Genetic Disorders — with 2026-08-29 changes.pptx
16c,▶ LIVE — Cycle 16c — Mutations and Genetic Disorders — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 30 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: off-palette text colors: 000000",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 16 — Mutations & Gene Expression (Unit 4)/▶ LIVE — Cycle 16c — Mutations and Genetic Disorders — with Concept Bank — with 2026-08-29 changes.pptx
