cycle,file,status,applied,skipped,warnings,placeholders,flagged_slides,output
7b,▶ LIVE — Cycle 07b — Populations & Succession.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07b — Populations & Succession — with 2026-08-29 changes.pptx
7b,▶ LIVE — Cycle 07b — Populations & Succession — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07b — Populations & Succession — with Concept Bank — with 2026-08-29 changes.pptx
15a,▶ LIVE — Cycle 15a — Genes & Chromosomes.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),,3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15a — Genes & Chromosomes — with 2026-08-29 changes.pptx
15a,▶ LIVE — Cycle 15a — Genes & Chromosomes — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,,3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15a — Genes & Chromosomes — with Concept Bank — with 2026-08-29 changes.pptx
15b,▶ LIVE — Cycle 15b — Protein Synthesis.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15b — Protein Synthesis — with 2026-08-29 changes.pptx
15b,▶ LIVE — Cycle 15b — Protein Synthesis — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 15 — Protein Synthesis (Central Dogma) (Unit 4)/▶ LIVE — Cycle 15b — Protein Synthesis — with Concept Bank — with 2026-08-29 changes.pptx
16a,▶ LIVE — Cycle 16a — Stem Cells and Differentiation.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16a,▶ LIVE — Cycle 16a — Stem Cells and Differentiation — with Concept Bank.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16b,▶ LIVE — Cycle 16b — Genetic Mutations.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16b,▶ LIVE — Cycle 16b — Genetic Mutations — with Concept Bank.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16c,▶ LIVE — Cycle 16c — Mutations and Genetic Disorders.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16c,▶ LIVE — Cycle 16c — Mutations and Genetic Disorders — with Concept Bank.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16d,▶ LIVE — Cycle 16d — Biotechnology.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
16d,▶ LIVE — Cycle 16d — Biotechnology — with Concept Bank.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 000000 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
