cycle,cycle_folder,deck_file,slide,slide_title,link_form,link_text,url,classification,drive_id,id_len,status,found_at,suggested_fix,fix_note
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank + slide index.pptx,33,Activity and resource links,printed+run,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank + slide index.pptx,33,Activity and resource links,printed+run,https://www.biointeractive.org/classroom-resources/living-together,https://www.biointeractive.org/classroom-resources/living-together,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank + slide index.pptx,33,Activity and resource links,printed+run,https://youtu.be/7cRgK0qG00E,https://youtu.be/7cRgK0qG00E,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank + slide index.pptx,34,Image credits,printed,"Icons: Twemoji by X/Twitter, CC BY 4.0 — https://github.com/jdecked/twemoji",https://github.com/jdecked/twemoji,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,3,Bellringer,run,BioMan Ecology Games,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,8,Explore — the Energy Tank Model,printed+run+shape,▶  Tap to open and drag the sliders — change the transfer efficiency and watch the tanks,https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,16,Day 1 activity · Critical Aspect 1,run,Feeding Relationships (Pacific NW) — PDF,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,drivefile/view,1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/My Class ,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,18,Day 2 · finish Critical Aspect 1 activity,run,Feeding Relationships (Pacific NW) — PDF,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,drivefile/view,1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/My Class ,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,26,Day 2 activity · Critical Aspect 2,run,Living Together — biointeractive.org,https://www.biointeractive.org/classroom-resources/living-together,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,29,What if?  /  Critical aspect: Energy flow through trophic levels,run,decomposers video,https://youtu.be/7cRgK0qG00E,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,30,Optional challenge,run,Chains & Webs (Gorongosa) — biointeractive.org,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,36,Activity and resource links,printed+run,https://answerable-biology-models.netlify.app/energy.html,https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,36,Activity and resource links,printed+run,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,36,Activity and resource links,printed+run,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,drivefile/view,1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/My Class ,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,36,Activity and resource links,printed+run,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,36,Activity and resource links,printed+run,https://www.biointeractive.org/classroom-resources/living-together,https://www.biointeractive.org/classroom-resources/living-together,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,36,Activity and resource links,printed+run,https://youtu.be/7cRgK0qG00E,https://youtu.be/7cRgK0qG00E,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,37,Image credits,printed,"Icons: Twemoji by X/Twitter, CC BY 4.0 — https://github.com/jdecked/twemoji",https://github.com/jdecked/twemoji,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,3,Bellringer,run,BioMan Ecology Games,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,8,Explore — the Energy Tank Model,printed+run+shape,▶  Tap to open and drag the sliders — change the transfer efficiency and watch the tanks,https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,16,Day 1 activity · Critical Aspect 1,run,Feeding Relationships (Pacific NW) — PDF,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,drivefile/view,1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/My Class ,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,18,Day 2 · finish Critical Aspect 1 activity,run,Feeding Relationships (Pacific NW) — PDF,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,drivefile/view,1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/My Class ,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,26,Day 2 activity · Critical Aspect 2,run,Living Together — biointeractive.org,https://www.biointeractive.org/classroom-resources/living-together,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,28,What if?  /  Critical aspect: Energy flow through trophic levels,run,decomposers video,https://youtu.be/7cRgK0qG00E,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,29,Optional challenge,run,Chains & Webs (Gorongosa) — biointeractive.org,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,35,Activity and resource links,printed+run,https://answerable-biology-models.netlify.app/energy.html,https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,35,Activity and resource links,printed+run,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,35,Activity and resource links,printed+run,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view,drivefile/view,1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/My Class ,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,35,Activity and resource links,printed+run,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,https://www.biointeractive.org/classroom-resources/creating-chains-and-webs-model-ecological-relationships,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,35,Activity and resource links,printed+run,https://www.biointeractive.org/classroom-resources/living-together,https://www.biointeractive.org/classroom-resources/living-together,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,35,Activity and resource links,printed+run,https://youtu.be/7cRgK0qG00E,https://youtu.be/7cRgK0qG00E,external,,,external (not checked live),n/a — external,,
Cycle 02,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,36,Image credits,printed,"Icons: Twemoji by X/Twitter, CC BY 4.0 — https://github.com/jdecked/twemoji",https://github.com/jdecked/twemoji,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,run,Energy Flow — Station Checksheet,about:blank,malformed,,,BROKEN — no URL (about:blank); material IS present,"SHARED tree, Cycle 03 / My Class only (print) :: Cycle 03 — Energy Flow — Station Checksheet.docx",https://drive.google.com/file/d/1dUHg9wztUe2kQUjnOUpY8lYzsAXiMDZ1/view,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 4 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,printed+run,Gizmo: Food Chain (ExploreLearning — subscription) — https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=381,https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=381,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,printed+run,HHMI BioInteractive — Nutrient Cycling in the Serengeti — https://www.biointeractive.org/classroom-resources/nutrient-cycling-serengeti,https://www.biointeractive.org/classroom-resources/nutrient-cycling-serengeti,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,printed+run,Amoeba Sisters — Food Webs & Energy Pyramids — https://www.youtube.com/watch?v=-oVavgmveyY,https://www.youtube.com/watch?v=-oVavgmveyY,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,printed+run,Crash Course Ecology — Ecosystem Ecology: Links in the Chain — https://www.youtube.com/watch?v=v6ubvEJ3KGM,https://www.youtube.com/watch?v=v6ubvEJ3KGM,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,4,Bellringer,run,Feed the Dingo — keep an ecosystem alive by balancing who eats whom. Notice what happens when the plants run out.,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,4,Bellringer,run,CK-12 Biology — Trophic Levels (6.4),https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/6.4/primary/lesson/trophic-levels-bio/,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,4,Bellringer,run,Khan Academy — Trophic levels,https://www.khanacademy.org/science/high-school-biology/hs-ecology/trophic-levels,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,9,Explore — the Energy Tank Model,run,▶  Tap to open the interactive model and drag the sliders,https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,16,Day 1 activity · Critical Aspect 1,run,Open: Station Checksheet — record your answers there too,https://drive.google.com/file/d/1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi/view,drivefile/view,1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,17,Day 1 activity · Critical Aspect 1,run,Open: Station Checksheet — record your answers there too,https://drive.google.com/file/d/1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi/view,drivefile/view,1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,25,Day 2 activity · Critical Aspect 2,run,Open: Station Checksheet — finish the pyramid station,https://drive.google.com/file/d/1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi/view,drivefile/view,1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,27,Optional challenge,run,Need the 10% rule again? Open the Energy Tank Model,https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,29,CONCEPT BANK,run,CK-12 Biology — Trophic Levels (6.4),https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/6.4/primary/lesson/trophic-levels-bio/,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,29,CONCEPT BANK,run,Khan Academy — Trophic levels,https://www.khanacademy.org/science/high-school-biology/hs-ecology/trophic-levels,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,32,Activity and resource links,run,Energy Tank Model (interactive),https://answerable-biology-models.netlify.app/energy.html,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,32,Activity and resource links,run,Bellringer sim — Feed the Dingo,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,32,Activity and resource links,run,Station Checksheet,https://drive.google.com/file/d/1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi/view,drivefile/view,1aHuzgv8b4uH34j18JP-7fE8PK_twNSsi,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,32,Activity and resource links,run,FOR READERS — CK-12 Biology — Trophic Levels (6.4),https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/6.4/primary/lesson/trophic-levels-bio/,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,32,Activity and resource links,run,FOR TESTERS — Khan Academy — Trophic levels,https://www.khanacademy.org/science/high-school-biology/hs-ecology/trophic-levels,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,33,Image credits,printed,"Icons: Twemoji by X/Twitter, CC BY 4.0 — https://github.com/jdecked/twemoji",https://github.com/jdecked/twemoji,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,run,Energy Flow — Station Checksheet,about:blank,malformed,,,BROKEN — no URL (about:blank); material IS present,"SHARED tree, Cycle 03 / My Class only (print) :: Cycle 03 — Energy Flow — Station Checksheet.docx",https://drive.google.com/file/d/1dUHg9wztUe2kQUjnOUpY8lYzsAXiMDZ1/view,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 4 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,printed+run,Gizmo: Food Chain (ExploreLearning — subscription) — https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=381,https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=381,external,,,external (not checked live),n/a — external,,
Cycle 03,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,1,TEACHER REFERENCE — not projected to studentsCycle 3 · Energy Flow & Trophic PyramidsUnit 1 · 3 class cycles,printed+run,HHMI BioInteractive — Nutrient Cycling in the Serengeti — https://www.biointeractive.org/classroom-resources/nutrient-cycling-serengeti,https://www.biointeractive.org/classroom-resources/nutrient-cycling-serengeti,external,,,external (not checked live),n/a — external,,
