Quarter (bundle),Unit,Cycle,Lesson / deck,Activity,Supply,Qty per group,Groups per class,Number of classes,Total needed,Reusable / Consumable,Preparation,Storage,Safety,Approx cost (USD),Substitute,Store / purchasing link
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),"Plastic syringes, 10 mL, no needle",2,8,1,16,Reusable,Rinse and air-dry after each class.,Wet-lab bin,—,10,—,LINK NEEDED (science supplier)
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),Clear plastic cups,3,8,1,24,Reusable,"Rinse and reuse — the same cup stock serves Cycles 06, 09, 10 and 18.",Wet-lab bin,—,5,Rinsed jars,LINK NEEDED (grocery)
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),Desk lamp or clamp light,1,8,1,8,Reusable,Light source per group; also the Day-2 stretch variable (move the lamp closer).,Cabinet: lab equipment,—,80,"Window light, or 4 lamps shared across 8 groups with staggered timing",LINK NEEDED
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),Timers,1,8,1,8,Reusable,Counting floated disks each minute is built-in waiting-time work.,Wet-lab bin,—,0,Chromebook / device clock,—
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),Measuring spoons (set),1,8,1,8,Reusable,For the baking-soda solution.,Wet-lab bin,—,10,One shared teacher set,LINK NEEDED
Q1,Photosynthesis,5,Cycle 05 (CORE),"All wet labs (introduced here; reused Cycles 06, 10)",Safety goggles (1 per student),4,8,1,32,Reusable,One class set serves all classes — sanitize between classes.,Goggle rack or bin,"First wet lab of the year — teach the deck's plain-terms safety intro first (goggles when told, never eat or drink in lab, spills to the teacher).",60,Borrow a class set from the science department,LINK NEEDED (school science supplier)
Q1,Photosynthesis,5,Cycle 05 (CORE),Build-a-sugar-molecule (Day 2),Molecular model kits,1,8,1,8,Reusable,'Every atom has to be used' — check kits complete after each class.,Cabinet: lab equipment,—,130,Colored paper circles + tape build the same molecule,LINK NEEDED (science supplier)
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab + Van Helmont handout,Printed lab handouts + Van Helmont handouts (2 per student),8,8,3,192,Consumable,Two handouts per student.,Hanging file: Cycle 05,—,0,School copier,—
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Fish & BTB demo (all-block teacher demo),"Fish (borrowed, with care protocol)",1,1,1,1,Reusable,"Borrowed, not bought; one fish serves all classes. Per-class demo: groups set to 1.",Tank/bowl at the demo counter for the cycle,"Animal care: dechlorinated water only, minimal handling, return promptly after the cycle.",0,Video of the BTB color change — LINK NEEDED,—
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Fish & BTB demo,Bromothymol blue (BTB) solution,1,1,1,1,Consumable,One bottle lasts years of demos. Per-class demo: groups set to 1.,"Chemical shelf, labeled",BTB stains — gloves and goggles when pouring.,8,—,LINK NEEDED (science supplier)
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Fish & BTB demo,Dechlorinated water,1,1,3,3,Consumable,"Set tap water out overnight, or use aquarium conditioner.",Jug near demo counter,—,0,—,—
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Fish & BTB demo + liver lab (Cycle 10),Disposable gloves (1 box),1,1,1,1,Consumable,One box covers this demo and the Cycle 10 liver work.,Wet-lab bin,—,8,—,LINK NEEDED
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Yeast Balloon Fermentation Lab (Day 2),Active dry yeast (1 packet per group),1,8,3,24,Consumable,Mix with sugar and warm tap water; include the no-sugar control.,Supply shelf: wet-lab bin,—,12,—,LINK NEEDED (grocery)
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Yeast Balloon Fermentation Lab (Day 2),Sugar (1 bag covers all classes),1,1,1,1,Consumable,Per-class item: groups set to 1.,Supply shelf: wet-lab bin,—,3,—,LINK NEEDED (grocery)
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Yeast Balloon Fermentation Lab (Day 2),"Small bottles (plastic, ~500 mL)",2,8,1,16,Reusable,Test bottle + no-sugar control per group; rinse between classes.,Wet-lab bin,—,6,Rinsed water bottles from recycling,—
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Yeast Balloon Fermentation Lab (Day 2),Balloons,2,8,3,48,Consumable,The balloon seals out oxygen — CO2 inflates it anyway. Watching them inflate over 15–20 minutes is built-in transition work.,Wet-lab bin,—,5,—,LINK NEEDED
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),Marshmallow burn (Arc 1 contrast),Marshmallows (1 bag),1,1,1,1,Consumable,Whether the burn is a live demo or a thought experiment is not specified — GAP — NOT IN SOURCE NOTES. Buy only if run live.,Supply shelf,"If burned live: flame safety, teacher-only handling, no food eaten in lab.",3,Run it as the on-slide thought experiment,LINK NEEDED (grocery)
Q2,Cellular Respiration & Fermentation,6,Cycle 06 (CORE),'Releasing the Energy in Food' trace worksheet (Day 1),Printed CA1 worksheets (1 per student),4,8,3,96,Consumable,Print 1 per student.,Hanging file: Cycle 06,—,0,School copier,https://docs.google.com/document/d/1agVVkf3bK0TWcb6yVfgGTp24AL_iQdrObjEzARqEFnQ/edit
Q2,Population Ecology & Succession,7,Population Ecology (CORE) + Populations & Succession (EXTEND),Anchoring Phenomena Research Assignment,Printed research-assignment handouts (1 per student),4,8,3,96,Consumable,The assignment itself is SOURCE NOT YET LOCATED — locate or rebuild before teaching.,Hanging file: Cycle 07,—,0,School copier,—
Q2,Population Ecology & Succession,7,Population Ecology (CORE) + Populations & Succession (EXTEND),Feeding Relationships in the Pacific Northwest,Pacific NW species card sets — reuse the Cycle 02 sets,1,8,1,8,Reusable,Reuse the Cycle 02 sets if you own that unit; otherwise print from the source PDF — one set per group. LINK NEEDED (PDF URL currently lives only in the Cycle 02 deck).,"Zip bags, one per group: Cycle 02",—,0,—,—
Q2,Population Ecology & Succession,7,Population Ecology (CORE) + Populations & Succession (EXTEND),Quadrat sampling model,Quadrat sampling materials (unspecified),1,8,1,8,Reusable,"GAP — NOT IN SOURCE NOTES: the deck announces the model but lists no materials or directions. Typical setup — a string/tape grid over a scattered 'population' of beans or paper dots, count and extrapolate. REVIEW WITH KATHERINE.",Zip bag: Cycle 07,—,5,String squares taped to desks + the Cycle 18 bean stock,—
Q2,Cells & Organelles,8,Intro to Cells (CORE) + Cell Organelles (EXTEND),Cell Organelle Graphic Organizer (EXTEND),Printed graphic organizers (1 per student),4,8,3,96,Consumable,The organizer document is SOURCE NOT YET LOCATED — locate or rebuild before teaching.,Hanging file: Cycle 08,—,0,School copier,—
Q2,Cells & Organelles,8,Intro to Cells (CORE) + Cell Organelles (EXTEND),Cell-coloring practice (EXTEND; attendance/transition work),Printed cell-coloring sheets (1 per student),4,8,3,96,Consumable,Coloring sheet SOURCE NOT YET LOCATED. Ideal attendance/transition/early-finisher work.,Hanging file: Cycle 08,—,0,School copier,—
Q2,Cells & Organelles,8,Intro to Cells (CORE) + Cell Organelles (EXTEND),Cell-coloring practice (EXTEND),Colored pencils (1 box per group),1,8,1,8,Reusable,Also used for Cycle 09 bilayer drawings.,General classroom stock,—,16,Existing classroom stock,LINK NEEDED
Q2,Cell Membrane & Transport,9,Cycle 09 (CORE),Screen-Door Sort (Day 1),Printed Screen-Door Sort card sets,1,8,1,8,Reusable,Print + laminate one set per group; the cards re-sort for early finishers.,Zip bags: Cycle 09,—,4,"Plain-paper sets, replaced yearly",—
Q2,Cell Membrane & Transport,9,Cycle 09 (CORE),Build-a-Bilayer (Day 2),Drawing paper (1 sheet per student),4,8,3,96,Consumable,Draw and label eight phospholipids arranged against water.,Paper stock,—,0,School copier paper,—
Q2,Cell Membrane & Transport,9,Cycle 09 (CORE),"Oil, Water & the Bilayer mini-lab (Day 3 challenge)",Cooking oil + clear container (per-class demo),1,1,1,1,Consumable,One bottle of oil and one clear jar; water from the tap. Per-class demo: groups set to 1.,Supply shelf: wet-lab bin,—,4,—,LINK NEEDED (grocery)
Q2,Enzymes,10,Cycle 10 (CORE),Potato & Peroxide demo + Temperature & pH Lab,3% hydrogen peroxide (2 bottles per class),2,1,3,6,Consumable,Drugstore 3%. Per-class item: groups set to 1.,"Chemical shelf, dark bottle",Low-risk at 3% — goggles on; rinse skin splashes.,6,—,LINK NEEDED (drugstore)
Q2,Enzymes,10,Cycle 10 (CORE),Potato & Peroxide demo + Day 2 callback,Raw potatoes (3 per class) + 1 boiled ahead,3,1,3,9,Consumable,Cut fresh day-of. Boil one potato ahead for the Day 2 denaturing callback — a boiled potato will not foam.,Refrigerator until lab day,—,4,—,LINK NEEDED (grocery)
Q2,Enzymes,10,Cycle 10 (CORE),Liver-Catalase Lab (Day 3 challenge),Raw liver (1 pack; 'works even stronger'),1,1,1,1,Consumable,Reuse the same liver piece in fresh peroxide — that IS the point.,Refrigerator until lab day,"Raw meat: gloves, wipe surfaces, wash hands.",4,Skip the challenge; potato only,LINK NEEDED (grocery)
Q2,Enzymes,10,Cycle 10 (CORE),Potato & Peroxide demo,White plates or trays,1,8,1,8,Reusable,Foam shows against white.,Wet-lab bin,—,6,Paper plates (consumable),LINK NEEDED
Q2,Enzymes,10,Cycle 10 (CORE),All Cycle 10 wet work,Paper towels (1 roll per class),1,1,3,3,Consumable,—,Wet-lab bin,—,3,—,LINK NEEDED (grocery)
Q2,Enzymes,10,Cycle 10 (CORE),Activation-Energy Hill (Day 1),Marble + cardboard hill,1,8,1,8,Reusable,Score and fold cardboard into a hill that can be lowered.,Zip bag: Cycle 10,—,3,Any small ball + a manila folder,—
Q2,Enzymes,10,Cycle 10 (CORE),Lock & Key Match (Day 1–2),Scissors,2,8,1,16,Reusable,—,General classroom stock,—,10,Borrow a class set,LINK NEEDED
Q2,Enzymes,10,Cycle 10 (CORE),Lock & Key Match (Day 1–2),Printed Lock & Key cutout sheets (incl. the deliberately warped active site),1,8,3,24,Consumable,The cutouts double as transition puzzles (fiddle).,Hanging file: Cycle 10,—,0,School copier,—
Q2,Enzymes,10,Cycle 10 (CORE),Temperature & pH Lab (Day 2),Containers for hot/cold water baths,2,8,1,16,Reusable,Any plastic containers; hot tap water and ice water.,Cabinet: lab equipment,—,8,Beakers borrowed from the department,—
Q2,Enzymes,10,Cycle 10 (CORE),Temperature & pH Lab (Day 2),pH solutions (vinegar; baking-soda solution),1,1,3,3,Consumable,Mix a weak-acid-to-weak-base range from vinegar and baking soda (external lab guide). Per-class item: groups set to 1.,"Chemical shelf, labeled",Household-strength only; goggles on.,3,—,https://www.sciencebuddies.org/science-fair-projects/project-ideas/BioChem_p012/biotechnology-techniques/how-enzyme-activity-changes-with-temperature
Q2,Enzymes,10,Cycle 10 (CORE),Temperature & pH Lab graphing (also Cycle 18),Graph paper (1 sheet per student),4,8,3,96,Consumable,Same stock serves Cycle 18.,Paper stock,—,0,School copier,—
Q3,The Cell Cycle → Cancer,11,Cycle 11 (CORE),Be the Checkpoint (Day 1),Printed checkpoint condition card sets,1,8,1,8,Reusable,Print + laminate; the cards re-deal as a quick game (fiddle).,Zip bags: Cycle 11,—,3,"Plain-paper sets, replaced yearly",—
Q3,The Cell Cycle → Cancer,11,Cycle 11 (CORE),Cancer case study (Day 2),Printed case-study handouts (1 per student),4,8,3,96,Consumable,The case-study handout is SOURCE NOT YET LOCATED — locate or rebuild before teaching.,Hanging file: Cycle 11,—,0,School copier,—
Q3,Reproduction & Meiosis,12,The Process of Meiosis (CORE — SOURCE NOT YET LOCATED) + Reproduction & Meiosis (EXTEND),"Pop Bead Meiosis lab (CORE, per Unit Descriptions)",Pop bead kits,1,8,1,8,Reusable,HOLD this purchase — the Process of Meiosis deck that carries the Pop Bead lab is SOURCE NOT YET LOCATED. The CORE deck itself is SOURCE NOT YET LOCATED; the lab is named in the Unit Descriptions. Count beads back in after each class.,Kit boxes: Cycle 12,—,120,Colored paper clips chained as chromosomes,LINK NEEDED (science supplier)
Q3,Mendelian Genetics & Punnett Squares,13,Mendelian Genetics (CORE) + Genetics Continued — Punnett (EXTEND),Traits inventory with class data (CORE),Printed traits inventory sheets (1 per student),4,8,3,96,Consumable,The sheet is SOURCE NOT YET LOCATED — locate or rebuild before teaching.,Hanging file: Cycle 13,—,0,School copier,—
Q3,Mendelian Genetics & Punnett Squares,13,Mendelian Genetics (CORE) + Genetics Continued — Punnett (EXTEND),PTC taste test (EXTEND),PTC test-paper strips (1 per student; vial of 100 covers all classes),4,8,3,96,Consumable,"Fast, high-engagement opener.",Vial in Cycle 13 folder,"One strip per student, never shared; taste and discard. Some students taste nothing — that IS the data.",8,—,LINK NEEDED (science supplier)
Q3,DNA Structure & Replication,14,Cycle 14 (CORE),Unzip and Rebuild (Day 1) + Replication Assembly Line (Day 2),Paper/card DNA strand strips + base cutouts (1 set per group),1,8,1,8,Reusable,"Print on cardstock + laminate; one stock serves both activities, and the strips double as transition puzzles.",Zip bags: Cycle 14,—,4,"Plain-paper sets, replaced yearly",https://docs.google.com/document/d/13KsLi7ncyMF0_rOoAGK5bgWHHaE5QWWJyN5PuQJAm5I/edit
Q3,DNA Structure & Replication,14,Cycle 14 (CORE),Replication Assembly Line (Day 2),Station signs: HELICASE / DNA POLYMERASE / LIGASE (1 class set),1,1,1,1,Reusable,Three signs; laminate once. Per-class set: groups set to 1.,Folder: Cycle 14,—,0,School copier + laminate,https://docs.google.com/document/d/1uDUphGPphtqcIG_in1NWSl26LS8JuDXmbBmMljB0GQo/edit
Q3,Genes & Chromosomes,15,Genes & Chromosomes (CORE) + Protein Synthesis (EXTEND),Pipe-cleaner chromosome build + gene map (CORE),Pipe cleaners (~10 per group),10,8,3,240,Consumable,Directions live in a separate Activity Guide — SOURCE NOT YET LOCATED.,Craft bin: Cycle 15,—,8,—,LINK NEEDED (craft store)
Q3,Genes & Chromosomes,15,Genes & Chromosomes (CORE) + Protein Synthesis (EXTEND),Class allele survey (CORE),Survey recording materials (chart paper or board space),1,1,3,3,Consumable,Per-class tally: groups set to 1.,Chart-paper stock,—,3,Whiteboard tally,—
Q3,Genes & Chromosomes,15,Genes & Chromosomes (CORE) + Protein Synthesis (EXTEND),Modeling Transcription (EXTEND),"Letter tiles (base-pairing tiles, 1 set per group)",1,8,1,8,Reusable,—,Zip bags: Cycle 15,—,10,"Printed letter squares, laminated",LINK NEEDED
Q3,Genes & Chromosomes,15,Genes & Chromosomes (CORE) + Protein Synthesis (EXTEND),Codon-chart practice (EXTEND),Printed codon charts (laminated class set),4,8,1,32,Reusable,"Laminate one class set — reused, not consumed.",Folder: Cycle 15,—,0,School copier + laminate,—
Q4,Mutations & Genetic Change,16,Genetic Mutations (CORE) + Biotechnology / Genetic Disorders / Stem Cells (EXTEND ×3),THE DOG SAT frameshift puzzle (CORE; no-tech fiddle),Printed THE DOG SAT letter strips (1 set per group),1,8,1,8,Reusable,"Works cold, no tech. The CORE deck's activity slot is otherwise blank — GAP — NOT IN SOURCE NOTES.",Zip bags: Cycle 16,—,0,School copier + laminate,—
Q4,Mutations & Genetic Change,16,Genetic Mutations (CORE) + Biotechnology / Genetic Disorders / Stem Cells (EXTEND ×3),Karyotype sort (Genetic Disorders EXTEND),Printed karyotype sort sets (1 per group),1,8,1,8,Reusable,Print + laminate. The karyotype source is named without a URL — LINK NEEDED.,Zip bags: Cycle 16,—,4,"Plain-paper sets, replaced yearly",LINK NEEDED
Q4,Mutations & Genetic Change,16,Genetic Mutations (CORE) + Biotechnology / Genetic Disorders / Stem Cells (EXTEND ×3),The Case of the Desert Bones (Biotechnology EXTEND),Case materials (unknown),1,8,1,8,Consumable,Case materials SOURCE NOT YET LOCATED — scope unknown; likely printed case packets.,Hanging file: Cycle 16,—,0,School copier once located,—
Q4,Darwin & the Evidence for Evolution,17,"Cycle 17 (CORE), 57 slides",HHMI 'The Making of a Theory' film (30 min),Printed guided-question sheets (1 per student),4,8,3,96,Consumable,Print 1 per student.,Hanging file: Cycle 17,—,0,School copier,—
Q4,Darwin & the Evidence for Evolution,17,"Cycle 17 (CORE), 57 slides",Football-field deep-time timeline placement,"Timeline-of-life materials (printed/manipulable period pieces, 1 class set)",1,1,1,1,Reusable,Laminate one class set of geological-period pieces. Per-class set: groups set to 1.,Folder: Cycle 17,—,6,"Plain-paper pieces, replaced yearly",—
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),Variation vs. No Variation bean-population lab,Dried beans in multiple colors (1 cup mix per group),1,8,1,8,Reusable,Beans are recovered and reused across classes and years. Also feeds the Cycle 07 quadrat substitute.,Sealed jar: Cycle 18,—,8,—,LINK NEEDED (grocery)
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),Peppered Moth hunt + bean lab backgrounds,Colored paper/fabric backgrounds (2 per group),2,8,1,16,Reusable,Light vs. dark backgrounds.,Folder: Cycle 18,—,4,Construction paper,—
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),"Same Trait, Two Environments card activity",Trait and environment card sets (1 per group),1,8,1,8,Reusable,Print + laminate.,Zip bags: Cycle 18,—,3,"Plain-paper sets, replaced yearly",—
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),Battle of the Beaks,"Tweezers, clothespins, spoons (one of each per group as 'beaks')",3,8,1,24,Reusable,—,Zip bags: Cycle 18,—,10,Any three grip tools of different precision,LINK NEEDED
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),Battle of the Beaks,"Two seed types (small/soft vs. large/tough — e.g., rice vs. lima beans)",1,8,1,8,Reusable,One cup of each per group; recovered and reused.,Sealed jars: Cycle 18,—,5,—,LINK NEEDED (grocery)
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),Battle of the Beaks + Gene-Pool Beads,Cups — reuse the Cycle 05 cup stock,2,8,1,16,Reusable,No new purchase.,Wet-lab bin,—,0,—,—
Q4,Natural Selection & Adaptation,18,Cycle 18 (CORE; reference-quality v2),Gene-Pool Beads (Day 3 extension),Blue and white beads (30 blue + 20 white per group),50,8,1,400,Reusable,Track allele a across four generations of draws; count sets back in.,Zip bags: Cycle 18,—,10,Two colors of dried beans from the same stock,LINK NEEDED (craft store)
Q4,Speciation & Biodiversity,19,Cycle 19 (CORE),HHMI Lizards in an Evolutionary Tree (Day 1),Printed check sheets (1 per student),4,8,3,96,Consumable,Print 1 per student.,Hanging file: Cycle 19,—,0,School copier,—
Q4,Human Impact Capstone,20,"Cycle 20 (CORE, capstone)",One-page proposal (capstone product),Printed structured-argument templates (1 per student),4,8,3,96,Consumable,The template is SOURCE NOT YET LOCATED — locate or rebuild before the capstone.,Hanging file: Cycle 20,—,0,School copier,—
